initial_depth,harm_mag,recovery_time,residual_error,integrity_min
0.5,0.1,0,2.2885292105812027e-08,0.7
0.5,0.1,0,2.2885292105812027e-08,0.7
0.5,0.1,0,2.2885292105812027e-08,0.7
0.5,0.1,0,2.2885292105812027e-08,0.7
0.5,0.3,0,6.928486206980722e-08,0.7
0.5,0.3,0,6.928486206980722e-08,0.7
0.5,0.3,0,6.928486206980722e-08,0.7
0.5,0.3,0,6.928486206980722e-08,0.7
0.5,0.3,0,6.928486206980722e-08,0.7
0.5,0.5,0,1.1638775099243048e-07,0.7
0.5,0.5,0,1.1638775099243048e-07,0.7
0.5,0.5,0,1.1638775099243048e-07,0.7
0.5,0.5,0,1.1638775099243048e-07,0.7
0.5,0.5,0,1.1638775099243048e-07,0.7
0.5,0.7,0,1.6402977731644341e-07,0.7
0.5,0.7,0,1.6402977731644341e-07,0.7
0.5,0.7,0,1.6402977731644341e-07,0.7
0.5,0.7,0,1.6402977731644341e-07,0.7
0.5,0.7,0,1.6402977731644341e-07,0.7
0.5,0.9,0,2.1204722711054558e-07,0.7
0.5,0.9,0,2.1204722711054558e-07,0.7
0.5,0.9,0,2.1204722711054558e-07,0.7
0.5,0.9,0,2.1204722711054558e-07,0.7
0.5,0.9,0,2.1204722711054558e-07,0.7
