awareness,resistance,effect_mag,energy_cost,efficiency
0.3,0.1,0.7036421386080942,0.4690947590720626,1.5000000000000007
0.3,0.1,0.6514189338643961,0.434279289242931,1.499999999999999
0.3,0.1,0.6450155478392325,0.43001036522615604,1.4999999999999964
0.3,0.1,0.6664394717239941,0.44429298114932925,1.5000000000000004
0.3,0.1,0.685254567967541,0.4568363786450279,1.4999999999999982
0.3,0.1,0.695268110316563,0.46351207354437474,1.500000000000002
0.3,0.1,0.6764329681424499,0.4509553120949663,1.5000000000000009
0.3,0.1,0.6932081746314163,0.4621387830876106,1.5000000000000009
0.3,0.1,0.6661652634991859,0.4441101756661242,1.4999999999999991
0.3,0.3,0.5034960344464099,0.43156802952549517,1.166666666666664
0.3,0.3,0.5420598728522639,0.4646227481590825,1.1666666666666687
0.3,0.3,0.5155446710734521,0.44189543234867423,1.166666666666664
0.3,0.3,0.5513692061318665,0.47260217668445703,1.1666666666666665
0.3,0.3,0.5483750557225013,0.4700357620478594,1.1666666666666639
0.3,0.3,0.530794181687587,0.4549664414465025,1.1666666666666683
0.3,0.3,0.5151435269082114,0.44155159449275244,1.1666666666666672
0.3,0.3,0.5017692732843901,0.4300879485294777,1.1666666666666656
0.3,0.3,0.5380730666139555,0.4612054856691041,1.1666666666666683
0.3,0.3,0.5345297116479295,0.45816832426965415,1.1666666666666659
0.3,0.5,0.37118832772335075,0.4454259932680202,0.8333333333333347
0.3,0.5,0.38135391462199286,0.45762469754639024,0.8333333333333355
0.3,0.5,0.3649552935165348,0.4379463522198409,0.8333333333333349
0.3,0.5,0.3720431847836083,0.44645182174033,0.8333333333333333
0.3,0.5,0.38105453202765127,0.45726543843318257,0.8333333333333315
0.3,0.5,0.37853407659241833,0.45424089191090233,0.8333333333333327
0.3,0.5,0.38187509281933973,0.4582501113832078,0.833333333333333
0.3,0.5,0.3887574596592669,0.46650895159111916,0.8333333333333354
0.3,0.5,0.3910237292990153,0.46922847515881905,0.8333333333333321
0.3,0.5,0.3845979853736219,0.46151758244834495,0.8333333333333357
0.5,0.1,1.1342676982037125,0.7520594884897138,1.508215394611335
0.5,0.1,1.1092186800160801,0.7394791200107207,1.499999999999999
0.5,0.1,1.1169341137398137,0.7446227424932084,1.5000000000000016
0.5,0.1,1.1407721578379721,0.7535049239639935,1.5139544833186576
0.5,0.1,1.1258396752655613,0.7501865945034585,1.5007461923666392
0.5,0.1,1.1221891144418392,0.7481260762945593,1.5000000000000004
0.5,0.1,1.1360556244823932,0.7524568054405316,1.50979513543941
0.5,0.1,1.1267028225532472,0.7503784050118327,1.501512856750562
0.5,0.1,1.1481343639000978,0.7551409697555769,1.5204238809499697
0.5,0.1,1.099205614741837,0.7328037431612259,1.4999999999999976
0.5,0.3,0.8652784191450578,0.7416672164100497,1.1666666666666663
0.5,0.3,0.8488892583364174,0.7276193642883568,1.166666666666668
0.5,0.3,0.8696118750663819,0.7453816071997561,1.1666666666666665
0.5,0.3,0.8723216893456747,0.7477043051534353,1.1666666666666667
0.5,0.3,0.8718924897479114,0.7473364197839233,1.1666666666666679
0.5,0.3,0.8536790394403915,0.7317248909489069,1.1666666666666667
0.5,0.3,0.8846274686229587,0.7527507053208444,1.1751931447821156
0.5,0.3,0.8614168826899689,0.7383573280199749,1.166666666666664
0.5,0.3,0.8731226328193173,0.7483908281308425,1.1666666666666683
0.5,0.3,0.8943534693708868,0.7555295626773955,1.1837438447829047
0.5,0.5,0.627571871168545,0.7510287484674183,0.8356163095609792
