population_scale,diversity_entropy,trial,convergence_time,opinion_variance,mean_opinion,attenuation_factor,demographic_entropy_realized
4.0,0.1,4.0,10.0,1.232595164407831e-32,0.5157818102770585,0.5950000000000001,1.9772170014624826
4.0,0.3,0.0,15.0,0.0,0.5020204843436656,0.5950000000000001,1.882856063692049
4.0,0.3,1.0,10.0,1.232595164407831e-32,0.48459461503333506,0.595,1.6774212838293647
4.0,0.3,2.0,10.0,0.0,0.5031238748771063,0.5950000000000001,1.8050365325772657
4.0,0.3,3.0,10.0,0.0,0.5480298476004615,0.595,1.882856063692049
4.0,0.3,4.0,10.0,0.005192677060252327,0.5322498024691885,0.5598214285714285,1.8496017527145814
4.0,0.5,0.0,10.0,3.717044792667365e-32,0.4972865901341217,0.5950000000000001,1.936278124459133
4.0,0.5,1.0,10.0,0.0,0.48145040304429987,0.5949999999999999,1.5919171866886992
4.0,0.5,2.0,10.0,0.0,0.4758937446666404,0.595,1.8496017527145814
4.0,0.5,3.0,10.0,0.00672034765679291,0.49172546348428403,0.5526785714285714,1.8496017527145812
4.0,0.5,4.0,20.0,3.0814879110195774e-33,0.47650468322590805,0.595,1.9237949406953987
4.0,0.7,0.0,10.0,0.008083955270927205,0.5456458107991773,0.5526785714285715,1.8050365325772657
4.0,0.7,1.0,15.0,1.232595164407831e-32,0.5071946475782817,0.595,1.936278124459133
4.0,0.7,2.0,10.0,2.7733391199176196e-32,0.41442208562643423,0.5950000000000001,1.75
4.0,0.7,3.0,10.0,0.005848837989797369,0.4794983988627434,0.5526785714285715,1.9056390622295665
4.0,0.7,4.0,10.0,0.0,0.5915268402007186,0.5949999999999999,1.936278124459133
4.0,0.9,0.0,10.0,1.232595164407831e-32,0.5668210210849985,0.595,1.9772170014624826
4.0,0.9,1.0,10.0,0.007294685834558741,0.47667032807394855,0.5657738095238095,1.6697367178034825
4.0,0.9,2.0,10.0,4.930380657631324e-32,0.5048341484574121,0.595,1.5461796919474975
4.0,0.9,3.0,10.0,1.232595164407831e-32,0.5220202910112449,0.595,1.7806390622295665
4.0,0.9,4.0,10.0,3.0814879110195774e-33,0.47864531376670355,0.595,1.5052408149441479
